giornata,team_id,team_name,coach,points_giornata,goals_giornata,points_cumulative,goals_cumulative,rank_giornata,rank_cumulative
1,3346647,Spiazenza FC,Gianluca,63.5,0,63.5,0,6,6
1,3347033,ManesKean,Paola,62.5,0,62.5,0,7,7
1,3347119,Borussia Episodi,Gabryamaranto97,83.5,5,83.5,5,1,1
1,4522508,Vardy Is On Fire,Pathouse,57,0,57,0,8,8
1,6976879,Tax The Rich,Lo Smilzo,69.5,1,69.5,1,4,4
1,8831890,AC Spreadsheet,lorenzorossi88,77,3,77,3,2,2
1,10972609,Scarsenal,Pif1984,67.5,1,67.5,1,5,5
1,17071673,BRRR BRRR BODO GLIMT,Samuel,73.5,2,73.5,2,3,3
2,3346647,Spiazenza FC,Gianluca,63.5,0,127,0,8,7
2,3347033,ManesKean,Paola,68,1,130.5,1,7,6
2,3347119,Borussia Episodi,Gabryamaranto97,70.5,2,154,7,4,2
2,4522508,Vardy Is On Fire,Pathouse,68.5,1,125.5,1,6,8
2,6976879,Tax The Rich,Lo Smilzo,69,1,138.5,2,5,5
2,8831890,AC Spreadsheet,lorenzorossi88,72,2,149,5,3,3
2,10972609,Scarsenal,Pif1984,80.5,4,148,5,2,4
2,17071673,BRRR BRRR BODO GLIMT,Samuel,82,5,155.5,7,1,1
3,3346647,Spiazenza FC,Gianluca,70,2,197,2,3,7
3,3347033,ManesKean,Paola,68.5,1,199,2,5,6
3,3347119,Borussia Episodi,Gabryamaranto97,60.5,0,214.5,7,8,4
3,4522508,Vardy Is On Fire,Pathouse,67.5,1,193,2,6,8
3,6976879,Tax The Rich,Lo Smilzo,70,2,208.5,4,4,5
3,8831890,AC Spreadsheet,lorenzorossi88,85.5,5,234.5,10,1,1
3,10972609,Scarsenal,Pif1984,67.5,1,215.5,6,7,3
3,17071673,BRRR BRRR BODO GLIMT,Samuel,72,2,227.5,9,2,2
4,3346647,Spiazenza FC,Gianluca,64,0,261,2,7,8
4,3347033,ManesKean,Paola,65.5,0,264.5,2,6,7
4,3347119,Borussia Episodi,Gabryamaranto97,70.5,2,285,9,2,3
4,4522508,Vardy Is On Fire,Pathouse,77,3,270,5,1,6
4,6976879,Tax The Rich,Lo Smilzo,69.5,1,278,5,3,5
4,8831890,AC Spreadsheet,lorenzorossi88,68,1,302.5,11,5,1
4,10972609,Scarsenal,Pif1984,63,0,278.5,6,8,4
4,17071673,BRRR BRRR BODO GLIMT,Samuel,68.5,1,296,10,4,2
5,3346647,Spiazenza FC,Gianluca,59,0,320,2,8,8
5,3347033,ManesKean,Paola,70.5,2,335,4,4,7
5,3347119,Borussia Episodi,Gabryamaranto97,71,2,356,11,3,3
5,4522508,Vardy Is On Fire,Pathouse,81,4,351,9,1,4
5,6976879,Tax The Rich,Lo Smilzo,63,0,341,5,6,6
5,8831890,AC Spreadsheet,lorenzorossi88,65.5,0,368,11,5,2
5,10972609,Scarsenal,Pif1984,63,0,341.5,6,7,5
5,17071673,BRRR BRRR BODO GLIMT,Samuel,76,3,372,13,2,1
6,3346647,Spiazenza FC,Gianluca,74,3,394,5,4,8
6,3347033,ManesKean,Paola,76.5,3,411.5,7,1,7
6,3347119,Borussia Episodi,Gabryamaranto97,75.5,3,431.5,14,2,3
6,4522508,Vardy Is On Fire,Pathouse,75,3,426,12,3,4
6,6976879,Tax The Rich,Lo Smilzo,74,3,415,8,5,5
6,8831890,AC Spreadsheet,lorenzorossi88,66.5,1,434.5,12,7,2
6,10972609,Scarsenal,Pif1984,73,2,414.5,8,6,6
6,17071673,BRRR BRRR BODO GLIMT,Samuel,65,0,437,13,8,1
7,3346647,Spiazenza FC,Gianluca,69,1,463,6,5,8
7,3347033,ManesKean,Paola,72.5,2,484,9,3,5
7,3347119,Borussia Episodi,Gabryamaranto97,74,3,505.5,17,2,2
7,4522508,Vardy Is On Fire,Pathouse,71,2,497,14,4,4
7,6976879,Tax The Rich,Lo Smilzo,69,1,484,9,6,6
7,8831890,AC Spreadsheet,lorenzorossi88,80.5,4,515,16,1,1
7,10972609,Scarsenal,Pif1984,67,1,481.5,9,8,7
7,17071673,BRRR BRRR BODO GLIMT,Samuel,68,1,505,14,7,3
8,3346647,Spiazenza FC,Gianluca,79.5,4,542.5,10,1,8
8,3347033,ManesKean,Paola,63.5,0,547.5,9,7,6
8,3347119,Borussia Episodi,Gabryamaranto97,62,0,567.5,17,8,3
8,4522508,Vardy Is On Fire,Pathouse,64,0,561,14,6,4
8,6976879,Tax The Rich,Lo Smilzo,64.5,0,548.5,9,5,5
8,8831890,AC Spreadsheet,lorenzorossi88,71,2,586,18,3,1
8,10972609,Scarsenal,Pif1984,66,1,547.5,10,4,7
8,17071673,BRRR BRRR BODO GLIMT,Samuel,75.5,3,580.5,17,2,2
9,3346647,Spiazenza FC,Gianluca,67,1,609.5,11,6,8
9,3347033,ManesKean,Paola,66,1,613.5,10,7,7
9,3347119,Borussia Episodi,Gabryamaranto97,78,4,645.5,21,2,2
9,4522508,Vardy Is On Fire,Pathouse,82,5,643,19,1,3
9,6976879,Tax The Rich,Lo Smilzo,75.5,3,624,12,3,5
9,8831890,AC Spreadsheet,lorenzorossi88,72.5,2,658.5,20,5,1
9,10972609,Scarsenal,Pif1984,73,2,620.5,12,4,6
9,17071673,BRRR BRRR BODO GLIMT,Samuel,60.5,0,641,17,8,4
10,3346647,Spiazenza FC,Gianluca,77,3,686.5,14,2,7
10,3347033,ManesKean,Paola,68.5,1,682,11,8,8
10,3347119,Borussia Episodi,Gabryamaranto97,70,2,715.5,23,5,4
10,4522508,Vardy Is On Fire,Pathouse,79,4,722,23,1,2
10,6976879,Tax The Rich,Lo Smilzo,69.5,1,693.5,13,6,5
10,8831890,AC Spreadsheet,lorenzorossi88,69,1,727.5,21,7,1
10,10972609,Scarsenal,Pif1984,72,2,692.5,14,4,6
10,17071673,BRRR BRRR BODO GLIMT,Samuel,77,3,718,20,3,3
11,3346647,Spiazenza FC,Gianluca,67,1,753.5,15,5,8
11,3347033,ManesKean,Paola,77,3,759,14,2,6
11,3347119,Borussia Episodi,Gabryamaranto97,77.5,3,793,26,1,2
11,4522508,Vardy Is On Fire,Pathouse,62,0,784,23,7,3
11,6976879,Tax The Rich,Lo Smilzo,68,1,761.5,14,4,5
11,8831890,AC Spreadsheet,lorenzorossi88,77,3,804.5,24,3,1
11,10972609,Scarsenal,Pif1984,65.5,0,758,14,6,7
11,17071673,BRRR BRRR BODO GLIMT,Samuel,61.5,0,779.5,20,8,4
12,3346647,Spiazenza FC,Gianluca,71.5,2,825,17,2,8
12,3347033,ManesKean,Paola,71,2,830,16,3,6
12,3347119,Borussia Episodi,Gabryamaranto97,68,1,861,27,5,2
12,4522508,Vardy Is On Fire,Pathouse,65.5,0,849.5,23,6,3
12,6976879,Tax The Rich,Lo Smilzo,65,0,826.5,14,7,7
12,8831890,AC Spreadsheet,lorenzorossi88,65,0,869.5,24,8,1
12,10972609,Scarsenal,Pif1984,72.5,2,830.5,16,1,5
12,17071673,BRRR BRRR BODO GLIMT,Samuel,69.5,1,849,21,4,4
13,3346647,Spiazenza FC,Gianluca,70,2,895,19,5,7
13,3347033,ManesKean,Paola,83,5,913,21,2,5
13,3347119,Borussia Episodi,Gabryamaranto97,63,0,924,27,8,3
13,4522508,Vardy Is On Fire,Pathouse,65,0,914.5,23,6,4
13,6976879,Tax The Rich,Lo Smilzo,73,2,899.5,16,4,6
13,8831890,AC Spreadsheet,lorenzorossi88,79.5,4,949,28,3,1
13,10972609,Scarsenal,Pif1984,63.5,0,894,16,7,8
13,17071673,BRRR BRRR BODO GLIMT,Samuel,84.5,5,933.5,26,1,2
14,3346647,Spiazenza FC,Gianluca,71.5,2,966.5,21,5,7
14,3347033,ManesKean,Paola,64,0,977,21,8,6
14,3347119,Borussia Episodi,Gabryamaranto97,79.5,4,1003.5,31,1,3
14,4522508,Vardy Is On Fire,Pathouse,69,1,983.5,24,6,4
14,6976879,Tax The Rich,Lo Smilzo,79.5,4,979,20,2,5
14,8831890,AC Spreadsheet,lorenzorossi88,74,3,1023,31,3,1
14,10972609,Scarsenal,Pif1984,66.5,1,960.5,17,7,8
14,17071673,BRRR BRRR BODO GLIMT,Samuel,74,3,1007.5,29,4,2
15,3346647,Spiazenza FC,Gianluca,72.5,2,1039,23,1,7
15,3347033,ManesKean,Paola,71,2,1048,23,5,5
15,3347119,Borussia Episodi,Gabryamaranto97,66.5,1,1070,32,8,3
15,4522508,Vardy Is On Fire,Pathouse,71.5,2,1055,26,3,4
15,6976879,Tax The Rich,Lo Smilzo,67,1,1046,21,7,6
15,8831890,AC Spreadsheet,lorenzorossi88,67.5,1,1090.5,32,6,1
15,10972609,Scarsenal,Pif1984,72,2,1032.5,19,2,8
15,17071673,BRRR BRRR BODO GLIMT,Samuel,71.5,2,1079,31,4,2
16,3346647,Spiazenza FC,Gianluca,73,2,1112,25,4,6
16,3347033,ManesKean,Paola,65.5,0,1113.5,23,6,5
16,3347119,Borussia Episodi,Gabryamaranto97,74.5,3,1144.5,35,3,3
16,4522508,Vardy Is On Fire,Pathouse,79,4,1134,30,1,4
16,6976879,Tax The Rich,Lo Smilzo,65.5,0,1111.5,21,7,7
16,8831890,AC Spreadsheet,lorenzorossi88,75.5,3,1166,35,2,1
16,10972609,Scarsenal,Pif1984,65,0,1097.5,19,8,8
16,17071673,BRRR BRRR BODO GLIMT,Samuel,71.5,2,1150.5,33,5,2
17,3346647,Spiazenza FC,Gianluca,76,3,1188,28,5,6
17,3347033,ManesKean,Paola,77,3,1190.5,26,4,5
17,3347119,Borussia Episodi,Gabryamaranto97,78,4,1222.5,39,3,3
17,4522508,Vardy Is On Fire,Pathouse,67,1,1201,31,8,4
17,6976879,Tax The Rich,Lo Smilzo,67.5,1,1179,22,7,7
17,8831890,AC Spreadsheet,lorenzorossi88,79,4,1245,39,2,1
17,10972609,Scarsenal,Pif1984,69,1,1166.5,20,6,8
17,17071673,BRRR BRRR BODO GLIMT,Samuel,83,5,1233.5,38,1,2
18,3346647,Spiazenza FC,Gianluca,64,0,1252,28,7,6
18,3347033,ManesKean,Paola,67,1,1257.5,27,3,5
18,3347119,Borussia Episodi,Gabryamaranto97,66.5,1,1289,40,5,3
18,4522508,Vardy Is On Fire,Pathouse,70.5,2,1271.5,33,1,4
18,6976879,Tax The Rich,Lo Smilzo,67,1,1246,23,4,7
18,8831890,AC Spreadsheet,lorenzorossi88,65.5,0,1310.5,39,6,1
18,10972609,Scarsenal,Pif1984,63.5,0,1230,20,8,8
18,17071673,BRRR BRRR BODO GLIMT,Samuel,70,2,1303.5,40,2,2
19,3346647,Spiazenza FC,Gianluca,73.5,2,1325.5,30,5,6
19,3347033,ManesKean,Paola,88,6,1345.5,33,1,4
19,3347119,Borussia Episodi,Gabryamaranto97,80,4,1369,44,3,3
19,4522508,Vardy Is On Fire,Pathouse,73,2,1344.5,35,6,5
19,6976879,Tax The Rich,Lo Smilzo,62.5,0,1308.5,23,8,7
19,8831890,AC Spreadsheet,lorenzorossi88,76,3,1386.5,42,4,2
19,10972609,Scarsenal,Pif1984,63.5,0,1293.5,20,7,8
19,17071673,BRRR BRRR BODO GLIMT,Samuel,87,6,1390.5,46,2,1
20,3346647,Spiazenza FC,Gianluca,83.5,5,1409,35,1,6
20,3347033,ManesKean,Paola,69.5,1,1415,34,5,4
20,3347119,Borussia Episodi,Gabryamaranto97,62.5,0,1431.5,44,7,3
20,4522508,Vardy Is On Fire,Pathouse,65,0,1409.5,35,6,5
20,6976879,Tax The Rich,Lo Smilzo,57.5,0,1366,23,8,7
20,8831890,AC Spreadsheet,lorenzorossi88,80,4,1466.5,46,2,1
20,10972609,Scarsenal,Pif1984,72,2,1365.5,22,4,8
20,17071673,BRRR BRRR BODO GLIMT,Samuel,76,3,1466.5,49,3,2
21,3346647,Spiazenza FC,Gianluca,71,2,1480,37,6,5
21,3347033,ManesKean,Paola,73,2,1488,36,3,4
21,3347119,Borussia Episodi,Gabryamaranto97,73,2,1504.5,46,4,3
21,4522508,Vardy Is On Fire,Pathouse,69,1,1478.5,36,7,6
21,6976879,Tax The Rich,Lo Smilzo,76.5,3,1442.5,26,2,7
21,8831890,AC Spreadsheet,lorenzorossi88,88,6,1554.5,52,1,1
21,10972609,Scarsenal,Pif1984,69,1,1434.5,23,8,8
21,17071673,BRRR BRRR BODO GLIMT,Samuel,72.5,2,1539,51,5,2
22,3346647,Spiazenza FC,Gianluca,71,2,1551,39,5,5
22,3347033,ManesKean,Paola,74,3,1562,39,4,4
22,3347119,Borussia Episodi,Gabryamaranto97,63,0,1567.5,46,8,3
22,4522508,Vardy Is On Fire,Pathouse,68,1,1546.5,37,6,6
22,6976879,Tax The Rich,Lo Smilzo,76,3,1518.5,29,3,7
22,8831890,AC Spreadsheet,lorenzorossi88,68,1,1622.5,53,7,1
22,10972609,Scarsenal,Pif1984,80,4,1514.5,27,1,8
22,17071673,BRRR BRRR BODO GLIMT,Samuel,76.5,3,1615.5,54,2,2
23,3346647,Spiazenza FC,Gianluca,67,1,1618,40,7,5
23,3347033,ManesKean,Paola,70.5,2,1632.5,41,3,4
23,3347119,Borussia Episodi,Gabryamaranto97,76.5,3,1644,49,2,3
23,4522508,Vardy Is On Fire,Pathouse,64,0,1610.5,37,8,6
23,6976879,Tax The Rich,Lo Smilzo,77,3,1595.5,32,1,7
23,8831890,AC Spreadsheet,lorenzorossi88,69.5,1,1692,54,4,1
23,10972609,Scarsenal,Pif1984,68,1,1582.5,28,6,8
23,17071673,BRRR BRRR BODO GLIMT,Samuel,68.5,1,1684,55,5,2
24,3346647,Spiazenza FC,Gianluca,72,2,1690,42,4,5
24,3347033,ManesKean,Paola,66,1,1698.5,42,8,4
24,3347119,Borussia Episodi,Gabryamaranto97,70.5,2,1714.5,51,5,3
24,4522508,Vardy Is On Fire,Pathouse,69.5,1,1680,38,6,6
24,6976879,Tax The Rich,Lo Smilzo,74.5,3,1670,35,1,7
24,8831890,AC Spreadsheet,lorenzorossi88,74,3,1766,57,2,1
24,10972609,Scarsenal,Pif1984,74,3,1656.5,31,3,8
24,17071673,BRRR BRRR BODO GLIMT,Samuel,66.5,1,1750.5,56,7,2
25,3346647,Spiazenza FC,Gianluca,75,3,1765,45,4,5
25,3347033,ManesKean,Paola,75.5,3,1774,45,2,4
25,3347119,Borussia Episodi,Gabryamaranto97,69,1,1783.5,52,5,3
25,4522508,Vardy Is On Fire,Pathouse,75.5,3,1755.5,41,3,6
25,6976879,Tax The Rich,Lo Smilzo,80,4,1750,39,1,7
25,8831890,AC Spreadsheet,lorenzorossi88,67,1,1833,58,6,1
25,10972609,Scarsenal,Pif1984,64.5,0,1721,31,8,8
25,17071673,BRRR BRRR BODO GLIMT,Samuel,65.5,0,1816,56,7,2
26,3346647,Spiazenza FC,Gianluca,74,3,1839,48,2,5
26,3347033,ManesKean,Paola,77.5,3,1851.5,48,1,3
26,3347119,Borussia Episodi,Gabryamaranto97,65.5,0,1849,52,6,4
26,4522508,Vardy Is On Fire,Pathouse,61.5,0,1817,41,8,7
26,6976879,Tax The Rich,Lo Smilzo,73,2,1823,41,3,6
26,8831890,AC Spreadsheet,lorenzorossi88,64.5,0,1897.5,58,7,1
26,10972609,Scarsenal,Pif1984,71.5,2,1792.5,33,4,8
26,17071673,BRRR BRRR BODO GLIMT,Samuel,69.5,1,1885.5,57,5,2
27,3346647,Spiazenza FC,Gianluca,68,1,1907,49,6,5
27,3347033,ManesKean,Paola,66,1,1917.5,49,8,4
27,3347119,Borussia Episodi,Gabryamaranto97,81.5,4,1930.5,56,1,3
27,4522508,Vardy Is On Fire,Pathouse,74,3,1891,44,3,7
27,6976879,Tax The Rich,Lo Smilzo,76.5,3,1899.5,44,2,6
27,8831890,AC Spreadsheet,lorenzorossi88,72,2,1969.5,60,5,1
27,10972609,Scarsenal,Pif1984,72.5,2,1865,35,4,8
27,17071673,BRRR BRRR BODO GLIMT,Samuel,67.5,1,1953,58,7,2
28,3346647,Spiazenza FC,Gianluca,85.5,5,1992.5,54,1,5
28,3347033,ManesKean,Paola,80,4,1997.5,53,2,4
28,3347119,Borussia Episodi,Gabryamaranto97,70.5,2,2001,58,5,3
28,4522508,Vardy Is On Fire,Pathouse,64,0,1955,44,8,7
28,6976879,Tax The Rich,Lo Smilzo,65.5,0,1965,44,7,6
28,8831890,AC Spreadsheet,lorenzorossi88,74.5,3,2044,63,4,1
28,10972609,Scarsenal,Pif1984,69,1,1934,36,6,8
28,17071673,BRRR BRRR BODO GLIMT,Samuel,77,3,2030,61,3,2
29,3346647,Spiazenza FC,Gianluca,82.5,5,2075,59,1,4
29,3347033,ManesKean,Paola,65.5,0,2063,53,6,5
29,3347119,Borussia Episodi,Gabryamaranto97,78,4,2079,62,3,3
29,4522508,Vardy Is On Fire,Pathouse,63.5,0,2018.5,44,8,7
29,6976879,Tax The Rich,Lo Smilzo,76,3,2041,47,4,6
29,8831890,AC Spreadsheet,lorenzorossi88,65.5,0,2109.5,63,7,1
29,10972609,Scarsenal,Pif1984,82.5,5,2016.5,41,2,8
29,17071673,BRRR BRRR BODO GLIMT,Samuel,71,2,2101,63,5,2
30,3346647,Spiazenza FC,Gianluca,73,2,2148,61,3,3
30,3347033,ManesKean,Paola,70,2,2133,55,5,5
30,3347119,Borussia Episodi,Gabryamaranto97,69,1,2148,63,6,4
30,4522508,Vardy Is On Fire,Pathouse,74,3,2092.5,47,2,7
30,6976879,Tax The Rich,Lo Smilzo,72.5,2,2113.5,49,4,6
30,8831890,AC Spreadsheet,lorenzorossi88,79,4,2188.5,67,1,1
30,10972609,Scarsenal,Pif1984,67.5,1,2084,42,7,8
30,17071673,BRRR BRRR BODO GLIMT,Samuel,65.5,0,2166.5,63,8,2
31,3346647,Spiazenza FC,Gianluca,65,0,2213,61,8,4
31,3347033,ManesKean,Paola,73,2,2206,57,3,5
31,3347119,Borussia Episodi,Gabryamaranto97,73.5,2,2221.5,65,2,3
31,4522508,Vardy Is On Fire,Pathouse,76,3,2168.5,50,1,7
31,6976879,Tax The Rich,Lo Smilzo,69,1,2182.5,50,6,6
31,8831890,AC Spreadsheet,lorenzorossi88,67,1,2255.5,68,7,1
31,10972609,Scarsenal,Pif1984,72,2,2156,44,4,8
31,17071673,BRRR BRRR BODO GLIMT,Samuel,69.5,1,2236,64,5,2
32,3346647,Spiazenza FC,Gianluca,61,0,2274,61,8,4
32,3347033,ManesKean,Paola,65.5,0,2271.5,57,6,5
32,3347119,Borussia Episodi,Gabryamaranto97,76.5,3,2298,68,1,3
32,4522508,Vardy Is On Fire,Pathouse,73.5,2,2242,52,3,7
32,6976879,Tax The Rich,Lo Smilzo,66.5,1,2249,51,5,6
32,8831890,AC Spreadsheet,lorenzorossi88,62.5,0,2318,68,7,1
32,10972609,Scarsenal,Pif1984,74,3,2230,47,2,8
32,17071673,BRRR BRRR BODO GLIMT,Samuel,69.5,1,2305.5,65,4,2
33,3346647,Spiazenza FC,Gianluca,69.5,1,2343.5,62,5,4
33,3347033,ManesKean,Paola,61,0,2332.5,57,7,5
33,3347119,Borussia Episodi,Gabryamaranto97,75,3,2373,71,4,3
33,4522508,Vardy Is On Fire,Pathouse,66,1,2308,53,6,7
33,6976879,Tax The Rich,Lo Smilzo,80,4,2329,55,1,6
33,8831890,AC Spreadsheet,lorenzorossi88,60.5,0,2378.5,68,8,2
33,10972609,Scarsenal,Pif1984,76.5,3,2306.5,50,3,8
33,17071673,BRRR BRRR BODO GLIMT,Samuel,77.5,3,2383,68,2,1
34,3346647,Spiazenza FC,Gianluca,63.5,0,2407,62,8,4
34,3347033,ManesKean,Paola,73.5,2,2406,59,2,5
34,3347119,Borussia Episodi,Gabryamaranto97,75.5,3,2448.5,74,1,2
34,4522508,Vardy Is On Fire,Pathouse,66,1,2374,54,7,8
34,6976879,Tax The Rich,Lo Smilzo,73,2,2402,57,3,6
34,8831890,AC Spreadsheet,lorenzorossi88,67.5,1,2446,69,6,3
34,10972609,Scarsenal,Pif1984,73,2,2379.5,52,4,7
34,17071673,BRRR BRRR BODO GLIMT,Samuel,68.5,1,2451.5,69,5,1
35,3346647,Spiazenza FC,Gianluca,63,0,2470,62,7,6
35,3347033,ManesKean,Paola,72.5,2,2478.5,61,4,4
35,3347119,Borussia Episodi,Gabryamaranto97,81,4,2529.5,78,1,1
35,4522508,Vardy Is On Fire,Pathouse,75,3,2449,57,3,8
35,6976879,Tax The Rich,Lo Smilzo,71.5,2,2473.5,59,5,5
35,8831890,AC Spreadsheet,lorenzorossi88,69.5,1,2515.5,70,6,2
35,10972609,Scarsenal,Pif1984,80.5,4,2460,56,2,7
35,17071673,BRRR BRRR BODO GLIMT,Samuel,62,0,2513.5,69,8,3
