giornata,team_id,team_name,coach,slot,slot_index,player_id,player_name,role,role_full,serie_a_team,match_status,voto_iniziale,voto_finale,live_voto_iniziale,live_voto_finale,live_bonus,in_calcolo,played_as_starter,was_replaced,replaced_by_player_id,replaced_by_player_name,came_in_for_player_id,came_in_for_player_name,actually_used_as_sub,coach_manual_switch_out,coach_manual_switch_in,final_voto_after_sub,contributes_points,in_current_rosa,team_not_schierata,goal,pen_goal,assist,yellow_card,red_card,pen_saved,pen_missed,own_goal,goal_conceded
1,3346647,Spiazenza FC,Gianluca,Titolare,1,5876,Di Gregorio,P,Portiere,Juventus,Finita,6.5,5.5,6.5,5.5,-1,false,true,false,,,,,,false,,5.5,5.5,,false,0,0,0,0,0,0,0,0,1
1,3346647,Spiazenza FC,Gianluca,Titolare,2,7175,Joao Mario,D,Difensore,Bologna,Finita,5,5,5,5,0,false,true,false,,,,,,false,,5,5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,3,6202,Beukema,D,Difensore,Napoli,Finita,5,5,5,5,0,false,true,false,,,,,,false,,5,5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,4,6042,Lucumì,D,Difensore,Bologna,Finita,55,100,55,55,0,false,false,true,4751,Tomori,,,,false,,6.5,6.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,5,6814,Norton-Cuffy,D,Difensore,Genoa,Finita,5.5,5,5.5,5,-0.5,false,true,false,,,,,,false,,5,5,,false,0,0,0,1,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,6,6666,Bernabè,C,Centrocampista,Parma,Finita,6,6,6.5,6.5,0,false,true,false,,,,,,false,,6,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,7,6677,Adzic,C,Centrocampista,Juventus,Finita,6,6,6,6,0,false,false,false,,,,,,false,,6,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,8,536,Politano,C,Centrocampista,Napoli,Finita,6.5,6.5,6.5,6.5,0,false,true,false,,,,,,false,,6.5,6.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,9,6314,Openda,A,Attaccante,Juventus,Finita,5.5,5.5,6,6,0,false,false,false,,,,,,false,,5.5,5.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,10,6434,Yildiz,A,Attaccante,Juventus,Finita,6,6,6,6,0,false,true,false,,,,,,false,,6,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Titolare,11,6365,Ferguson E.,A,Attaccante,Roma,Finita,5.5,5.5,6,6,0,false,true,false,,,,,,false,,5.5,5.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,1,218,Perin,P,Portiere,Juventus,Finita,56,100,56,56,0,false,true,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,2,6462,Okoye,P,Portiere,Udinese,Finita,56,100,56,56,0,false,true,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,3,2788,Bremer,D,Difensore,Juventus,Finita,56,100,56,56,0,false,true,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,4,4751,Tomori,D,Difensore,Milan,Finita,6.5,6.5,6.5,6.5,0,false,true,false,,,6042,Lucumì,true,,false,6.5,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,5,4502,Gallo,D,Difensore,Lecce,Finita,5,5,5,5,0,false,true,false,,,,,false,,false,5,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,6,5761,Zhegrova,C,Centrocampista,Juventus,Finita,55,100,55,55,0,false,false,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,7,1870,Barella,C,Centrocampista,Inter,Finita,6,6,6,6,0,false,true,false,,,,,false,,false,6,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,8,6844,Rowe,C,Centrocampista,Bologna,Finita,56,100,56,56,0,false,true,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,9,4728,Nkunku,A,Attaccante,Milan,Finita,6,6,6,6,0,false,false,false,,,,,false,,false,6,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,10,6060,Laurientè,A,Attaccante,Sassuolo,Finita,6,6,6,6,0,false,true,false,,,,,false,,false,6,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Panchina,11,6967,Diao,A,Attaccante,Como,Finita,56,100,56,56,0,false,true,false,,,,,false,,false,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6717,Konè I.,,,Sassuolo,,,,6.5,6.5,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6669,Bonny,,,Inter,,,,6,6,0,false,false,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6664,Delprato,,,Parma,,,,6,6,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6380,Solomon,,,Fiorentina,,,,,,,false,,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6217,Bisseck,,,Inter,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4973,McKennie,,,Juventus,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4970,Messias,,,Genoa,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4657,Celik,,,Roma,,,,6.5,6.5,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4409,Rrahmani,,,Napoli,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4371,Raspadori,,,Atalanta,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4263,Kabasele,,,Udinese,,,,56,56,0,false,true,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,2832,Boga,,,Juventus,,,,,,,false,,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,1976,Mazzitelli,,,Cagliari,,,,55,55,0,false,false,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,530,Pellegrini Lo.,,,Roma,,,,7,10,3,false,true,false,,,,,,,,,0,true,false,1,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,333,Cataldi,,,Lazio,,,,6.5,6.5,0,false,false,false,,,,,,,,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,4287,Lobotka,,,Napoli,,,,6,6,0,false,false,false,,,,,,,,,0,false,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,2529,Mkhitaryan,,,Inter,,,,56,56,0,false,true,false,,,,,,,,,0,false,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,5918,Sulemana K.,,,Atalanta,,,,7.5,11.5,4,false,true,false,,,,,,,,,0,false,false,1,0,1,0,0,0,0,0,0
1,3346647,Spiazenza FC,Gianluca,Fuori_Lista,,6015,Berisha M.,,,Lecce,,,,56,56,0,false,true,false,,,,,,,,,0,false,false,0,0,0,0,0,0,0,0,0
1,3347033,ManesKean,Paola,Titolare,1,2521,De Gea,P,Portiere,Fiorentina,Finita,6,4,6,4,-2,false,true,false,,,,,,false,,4,4,,false,0,0,0,0,0,0,0,0,2
