giornata,team_id,team_name,coach,slot,slot_index,player_id,player_name,role,role_full,serie_a_team,match_status,voto_iniziale,voto_finale,live_voto_iniziale,live_voto_finale,live_bonus,in_calcolo,played_as_starter,was_replaced,replaced_by_player_id,replaced_by_player_name,came_in_for_player_id,came_in_for_player_name,actually_used_as_sub,modulo,final_voto_after_sub,contributes_points,in_current_rosa,team_not_schierata,goal,pen_goal,assist,yellow_card,red_card,pen_saved,pen_missed,own_goal,goal_conceded
1,3346647,Spiazenza,Gianluca,Titolare,1,6462,Okoye,P,Portiere,Udinese,NonIniziata,56,100,56,56,0,false,true,false,,,,,,343,100,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,2,6217,Bisseck,D,Difensore,Inter,Finita,7,7,6.5,6.5,0,false,true,false,,,,,,343,7,7,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,3,4657,Celik,D,Difensore,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,,343,100,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,4,4159,Akanji,D,Difensore,Inter,Finita,6.5,7.5,6.5,7.5,1,false,true,false,,,,,,343,7.5,7.5,,false,0,0,1,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,5,5119,Samardzic,C,Centrocampista,Atalanta,Finita,5.5,5.5,6,6,0,false,true,false,,,,,,343,5.5,5.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,6,5559,Da Cunha,C,Centrocampista,Como,Finita,6.5,6.5,6.5,6.5,0,false,true,false,,,,,,343,6.5,6.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,7,6875,Paz N.,C,Centrocampista,Como,Finita,7,10,7,10,3,false,true,false,,,,,,343,10,10,,false,1,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,8,6274,Diouf,C,Centrocampista,Inter,Finita,6.5,6.5,6,6,0,false,true,false,,,,,,343,6.5,6.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,9,6646,Adams C.,A,Attaccante,Torino,Finita,7,10,7,10,3,false,true,false,,,,,,343,10,10,,false,1,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,10,5951,Kolo Muani,A,Attaccante,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,,343,100,6,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Titolare,11,7071,Esposito F.P.,A,Attaccante,Inter,Finita,5.5,5.5,6,6,0,false,true,false,,,,,,343,5.5,5.5,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,1,6534,Perri,P,Portiere,Torino,Finita,5,4,5.5,4.5,-1,false,true,false,,,,,false,343,4,0,,false,0,0,0,0,0,0,0,0,1
1,3346647,Spiazenza,Gianluca,Panchina,2,6415,Palmisani,P,Portiere,Frosinone,PrimoTempo,56,100,6,6,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,3,6766,Kelly L.,D,Difensore,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,4,5678,Holm,D,Difensore,Bologna,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,5,6042,Lucumì,D,Difensore,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,6,5680,Sarr P.,C,Centrocampista,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,7,5823,Baldanzi,C,Centrocampista,Genoa,Finita,6,6,6,6,0,false,true,false,,,,,false,343,6,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,8,530,Pellegrini Lo.,C,Centrocampista,Roma,Finita,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,9,2832,Boga,A,Attaccante,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,10,7347,Bowie,A,Attaccante,Sassuolo,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Panchina,11,2012,Milik,A,Attaccante,Juventus,NonIniziata,56,100,56,56,0,false,true,false,,,,,false,343,100,0,,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Fuori_Lista,,4777,McTominay,,,Napoli,,,,56,56,0,false,true,false,,,,,,343,,0,true,false,0,0,0,0,0,0,0,0,0
1,3346647,Spiazenza,Gianluca,Fuori_Lista,,4705,Balerdi,,,Roma,,,,6.5,6.5,0,false,false,false,,,,,,343,,0,true,false,0,0,0,0,0,0,0,0,0
